"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"01","A","Crop and animal production, hunting and related service activities","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/01"
"011","01","Growing of non-perennial crops","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/011"
"0111","011","Growing of cereals (except rice), leguminous crops and oil seeds","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0111"
"0112","011","Growing of rice","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0112"
"0113","011","Growing of vegetables and melons, roots and tubers","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0113"
"0114","011","Growing of sugar cane","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0114"
"0115","011","Growing of tobacco","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0115"
"0116","011","Growing of fibre crops","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0116"
"0119","011","Growing of other non-perennial crops","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0119"
"012","01","Growing of perennial crops","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/012"
"0121","012","Growing of grapes","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0121"
"0122","012","Growing of tropical and subtropical fruits","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0122"
"0123","012","Growing of citrus fruits","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0123"
"0124","012","Growing of pome fruits and stone fruits","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0124"
"0125","012","Growing of other tree and bush fruits and nuts","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0125"
"0126","012","Growing of oleaginous fruits","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0126"
"0127","012","Growing of beverage crops","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0127"
"0128","012","Growing of spices, aromatic, drug and pharmaceutical crops","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0128"
"0129","012","Growing of other perennial crops","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0129"
"013","01","Plant propagation","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/013"
"0130","013","Plant propagation","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0130"
"014","01","Animal production","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/014"
"0141","014","Raising of cattle and buffaloes","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/0141"
