mappings between ontologies: (file:/C://Users//KrdzavacN//git//ontologies//coy-ontology//coy-ontology//ontology//mapping//logmap-mappings//isic4_data.ttl , file:/C://Users//KrdzavacN//git//ontologies//coy-ontology//coy-ontology//ontology//mapping//logmap-mappings//tiva-21.ttl), 
source iri, target iri, type of mapping, mappings direction, mapping confidence,
https://data.coypu.org/classification/isic_r4/2920 , https://data.coypu.org/classification/tiva-21#D29 , 3 , -2 , 0.7505469372246133,
https://data.coypu.org/classification/isic_r4/D , https://data.coypu.org/classification/tiva-21#D35 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/2790 , https://data.coypu.org/classification/tiva-21#D27 , 3 , -2 , 0.8653061224489795,
https://data.coypu.org/classification/isic_r4/51 , https://data.coypu.org/classification/tiva-21#D51 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/353 , https://data.coypu.org/classification/tiva-21#D35 , 3 , -2 , 0.8588235294117647,
https://data.coypu.org/classification/isic_r4/6399 , https://data.coypu.org/classification/tiva-21#D62T63 , 3 , -2 , 0.8238965353583294,
https://data.coypu.org/classification/isic_r4/3314 , https://data.coypu.org/classification/tiva-21#D27 , 3 , -2 , 0.9181818181818182,
https://data.coypu.org/classification/isic_r4/M , https://data.coypu.org/classification/tiva-21#D69T75 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/3099 , https://data.coypu.org/classification/tiva-21#D30 , 3 , -2 , 0.7666666666666667,
https://data.coypu.org/classification/isic_r4/2399 , https://data.coypu.org/classification/tiva-21#D23 , 3 , -2 , 0.83125,
https://data.coypu.org/classification/isic_r4/28 , https://data.coypu.org/classification/tiva-21#D31T33 , 3 , -2 , 0.779547193126986,
https://data.coypu.org/classification/isic_r4/P , https://data.coypu.org/classification/tiva-21#D85 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/192 , https://data.coypu.org/classification/tiva-21#D19 , 3 , -2 , 0.7984448848909894,
https://data.coypu.org/classification/isic_r4/L , https://data.coypu.org/classification/tiva-21#D68 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/24 , https://data.coypu.org/classification/tiva-21#D24 , 3 , -2 , 0.8,
https://data.coypu.org/classification/isic_r4/N , https://data.coypu.org/classification/tiva-21#D77T82 , 3 , -2 , 0.8988085322558731,
https://data.coypu.org/classification/isic_r4/68 , https://data.coypu.org/classification/tiva-21#D68 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/58 , https://data.coypu.org/classification/tiva-21#D58T60 , 3 , -2 , 0.775,
https://data.coypu.org/classification/isic_r4/29 , https://data.coypu.org/classification/tiva-21#D29 , 3 , -2 , 0.9164556962025316,
https://data.coypu.org/classification/isic_r4/45 , https://data.coypu.org/classification/tiva-21#D45T47 , 3 , -2 , 0.9120954297211843,
https://data.coypu.org/classification/isic_r4/1920 , https://data.coypu.org/classification/tiva-21#D19 , 3 , -2 , 0.7984448848909894,
https://data.coypu.org/classification/isic_r4/853 , https://data.coypu.org/classification/tiva-21#D85 , 3 , -2 , 0.85,
https://data.coypu.org/classification/isic_r4/19 , https://data.coypu.org/classification/tiva-21#D19 , 3 , -2 , 0.9014925373134328,
https://data.coypu.org/classification/isic_r4/210 , https://data.coypu.org/classification/tiva-21#D21 , 3 , -2 , 0.9405405405405406,
https://data.coypu.org/classification/isic_r4/309 , https://data.coypu.org/classification/tiva-21#D30 , 3 , -2 , 0.75,
https://data.coypu.org/classification/isic_r4/23 , https://data.coypu.org/classification/tiva-21#D23 , 3 , -2 , 0.8952380952380952,
https://data.coypu.org/classification/isic_r4/49 , https://data.coypu.org/classification/tiva-21#D49 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/852 , https://data.coypu.org/classification/tiva-21#D85 , 3 , -2 , 0.8,
https://data.coypu.org/classification/isic_r4/451 , https://data.coypu.org/classification/tiva-21#D45T47 , 3 , -2 , 0.7578947368421053,
https://data.coypu.org/classification/isic_r4/53 , https://data.coypu.org/classification/tiva-21#D53 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/3311 , https://data.coypu.org/classification/tiva-21#D25 , 3 , -2 , 0.9307692307692308,
https://data.coypu.org/classification/isic_r4/35 , https://data.coypu.org/classification/tiva-21#D35 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/30 , https://data.coypu.org/classification/tiva-21#D30 , 3 , -2 , 0.8595744680851064,
https://data.coypu.org/classification/isic_r4/S , https://data.coypu.org/classification/tiva-21#D94T96 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/E , https://data.coypu.org/classification/tiva-21#D36T39 , 3 , -2 , 1.0,
https://data.coypu.org/classification/isic_r4/5310 , https://data.coypu.org/classification/tiva-21#D68 , 3 , -2 , 0.7501320655044903,
