CPA21code,Count_of_CPA_21,CPA_21,CPC21code,Count_of_CPC_21,CPC_21,Comment
01.11.11,2,Durum wheat,01111,2,"Wheat, seed",
01.11.11,2,Durum wheat,01112,2,"Wheat, other",
01.11.12,2,"Wheat, except durum wheat",01111,2,"Wheat, seed",
01.11.12,2,"Wheat, except durum wheat",01112,2,"Wheat, other",
01.11.20,2,Maize,01121,1,"Maize (corn), seed",
01.11.20,2,Maize,01122,1,"Maize (corn), other",
01.11.31,2,Barley,01151,1,"Barley, seed",
01.11.31,2,Barley,01152,1,"Barley, other",
01.11.32,2,Rye,01161,1,"Rye, seed",
01.11.32,2,Rye,01162,1,"Rye, other",
01.11.33,2,Oats,01171,1,"Oats, seed",
01.11.33,2,Oats,01172,1,"Oats, other",
01.11.41,2,Sorghum,01141,1,"Sorghum, seed",
01.11.41,2,Sorghum,01142,1,"Sorghum, other",
01.11.42,2,Millet,01181,1,"Millet, seed",
01.11.42,2,Millet,01182,1,"Millet, other",
01.11.43,1,Triticale,01191,1,Triticale,
01.11.49,5,Other cereals,01192,1,Buckwheat,
01.11.49,5,Other cereals,01193,1,Fonio,
01.11.49,5,Other cereals,01194,1,Quinoa,
01.11.49,5,Other cereals,01195,1,Canary seed,
01.11.49,5,Other cereals,01199,1,Other cereals n.e.c.,
01.11.50,1,Cereals straw and husks,01913,1,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",
01.11.61,1,"Beans, green",01241,2,"Beans, green",
01.11.62,1,"Peas, green",01242,2,"Peas, green",
01.11.69,2,Other green leguminous vegetables,01243,2,"Broad beans and horse beans, green",
01.11.69,2,Other green leguminous vegetables,01249,2,Other green leguminous vegetables,
01.11.71,2,"Beans, dry",01701,1,"Beans, dry",
01.11.71,2,"Beans, dry",01708,1,"Bambara beans, dry",
01.11.72,1,"Broad beans, dry",01702,1,"Broad beans and horse beans, dry",
01.11.73,1,"Chick peas, dry",01703,1,"Chick peas, dry",
01.11.74,1,"Lentils, dry",01704,1,"Lentils, dry",
01.11.75,1,"Peas, dry",01705,1,"Peas, dry",
01.11.76,1,Cow peas,01706,1,"Cow peas, dry",
01.11.77,1,"Pigeon peas, dry",01707,1,"Pigeon peas, dry",
01.11.79,1,Pulses (dried leguminous vegetables) n.e.c.,01709,1,"Pulses, n.e.c.",
01.11.81,2,Soya beans,01411,1,"Soya beans, seed for planting",
01.11.81,2,Soya beans,01412,1,"Soya beans, other",
01.11.82,2,"Groundnuts, in shell",01421,1,"Groundnuts, seed for planting",
01.11.82,2,"Groundnuts, in shell",01422,1,"Groundnuts, in shell",
01.11.91,1,Lin seed,01441,1,Linseed,
01.11.92,1,Mustard seed,01442,1,Mustard seed,
01.11.93,1,Rape or colza seed,01443,1,Rape or colza seed,
01.11.94,1,Sesame seed,01444,1,Sesame seed,
01.11.95,1,Sunflower seed,01445,1,Sunflower seed,
01.11.96,1,Castor oil seeds,01447,1,Castor oil seeds,
01.11.99,4,Other oil seeds n.e.c.,01446,1,Safflower seed,
01.11.99,4,Other oil seeds n.e.c.,01448,1,Poppy seed,
01.11.99,4,Other oil seeds n.e.c.,01449,1,"Other oilseeds, n.e.c.",
01.11.99,4,Other oil seeds n.e.c.,01491,1,Palm nuts and kernels,
01.12.10,2,"Rice, not husked",01131,1,"Rice, seed",
01.12.10,2,"Rice, not husked",01132,1,"Rice paddy, other (not husked)",
01.13.11,1,Asparagus,01211,1,Asparagus,
01.13.12,1,Cabbages,01212,2,Cabbages,
01.13.13,1,Cauliflowers and broccoli,01213,2,Cauliflowers and broccoli,
01.13.14,1,Lettuce,01214,3,Lettuce and chicory,
01.13.15,1,Chicory,01214,3,Lettuce and chicory,
01.13.16,1,Spinach,01215,2,Spinach,
01.13.17,1,Artichokes,01216,2,Artichokes,
01.13.19,1,Other leafy or stem vegetables,01219,2,Other leafy or stem vegetables,
01.13.21,1,Watermelons,01221,2,Watermelons,
01.13.29,1,Other melons,01229,2,Cantaloupes and other melons,
01.13.31,1,"Chillies and peppers, green (only capsicum)",01231,2,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",
01.13.32,1,Cucumbers and gherkins,01232,2,Cucumbers and gherkins,
01.13.33,1,Eggplants (aubergines),01233,2,Eggplants (aubergines),
01.13.34,1,Tomatoes,01234,2,Tomatoes,
01.13.39,2,Other fruit-bearing vegetables n.e.c.,01235,2,"Pumpkins, squash and gourds",
01.13.39,2,Other fruit-bearing vegetables n.e.c.,01239,2,Other fruit-bearing vegetables,
01.13.41,1,Carrots and turnips,01251,2,Carrots and turnips,
01.13.42,1,Garlic,01252,2,Green garlic,
01.13.43,1,Onions,01253,2,Onions,
01.13.44,1,Leeks and other alliaceous vegetables,01254,2,Leeks and other alliaceous vegetables,
01.13.49,1,"Other root, bulb or tuberous vegetables (without high starch or inulin content)",01259,2,"Other root, bulb and tuberous vegetables, n.e.c.",
01.13.51,1,Potatoes,01510,2,Potatoes,
01.13.52,1,Sweet potatoes,01530,1,Sweet potatoes,
01.13.53,1,Cassava,01520,1,Cassava,
01.13.54,1,Taro,01550,1,Taro,
01.13.59,3,Other edible roots and tubers with high starch or inulin content,01540,1,Yams,
01.13.59,3,Other edible roots and tubers with high starch or inulin content,01591,1,Yautia,
01.13.59,3,Other edible roots and tubers with high starch or inulin content,01599,1,"Other edible roots and tubers with high starch or inulin content, n.e.c.",
01.13.60,1,"Vegetable seeds, except beet seeds",01260,1,"Vegetable seeds, except beet seeds",
01.13.71,1,Sugar beet,01801,1,Sugar beet,
01.13.72,1,Sugar beet seeds,01803,1,Sugar beet seeds,
01.13.80,1,Mushrooms and truffles,01270,2,Mushrooms and truffles,
01.13.90,1,"Vegetables, fresh, n.e.c.",01290,2,"Vegetables, fresh, n.e.c.",
01.14.10,1,Sugar cane,01802,1,Sugar cane,
01.15.10,1,Unmanufactured tobacco,01970,1,Unmanufactured tobacco,
01.16.11,3,"Cotton, whether or not ginned",01431,1,"Cottonseed, seed for planting",
01.16.11,3,"Cotton, whether or not ginned",01432,1,"Cottonseed, other",
01.16.11,3,"Cotton, whether or not ginned",01921,1,"Cotton, whether or not ginned",
