NACE_1_1_CODE,en_Description,NACE_2007_CODE,NACE_2007_DESCRPTION,Comments
1.11,Growing of cereals and other crops n.e.c.,1.11,"Growing of cereals (except rice), leguminous crops and oil seeds","- Growing of cereal grains (except rice)
- Growing of dried leguminous vegetables such as field peas and beans
- Growing of oilseeds"
1.11,Growing of cereals and other crops n.e.c.,1.12,Growing of rice,"Growing of rice: part of inclusion ""growing of cereal grains"""
1.11,Growing of cereals and other crops n.e.c.,1.13,"Growing of vegetables and melons, roots and tubers","- Growing of potatoes 
- Growing of roots and tubers with a high starch or inulin content
- Growing of sugar beet and sugar beet seeds"
1.11,Growing of cereals and other crops n.e.c.,1.14,Growing of sugar cane,"Sugar cane: part of inclusion ""growing of crops n.e.c."""
1.11,Growing of cereals and other crops n.e.c.,1.15,Growing of tobacco,Growing of tobacco (except preparation of tobacco leaves)
1.11,Growing of cereals and other crops n.e.c.,1.16,Growing of fibre crops,Growing of cotton; growing of diverse textile plants; retting of plants bearing vegetable fibres
1.11,Growing of cereals and other crops n.e.c.,1.19,Growing of other non-perennial crops,"- Production of beet seeds and forage plants seeds (including grasses) 
- Growing of swedes, mangolds, fodder roots, clover, alfafa, sainfoin, maize and other grasses, forage kale and similar forage products: part of inclusion ""growing of crops n.e.c."""
1.11,Growing of cereals and other crops n.e.c.,1.26,Growing of oleaginous fruits,"- Palm nuts and kernels
- Other oleaginous fruits n.e.c."
1.11,Growing of cereals and other crops n.e.c.,1.28,"Growing of spices, aromatic, drug and pharmaceutical crops","- Growing plants used chiefly in pharmacy or for insecticidal, fungicidal or similar purposes
- Growing of hop"
1.11,Growing of cereals and other crops n.e.c.,1.29,Growing of other perennial crops,"Rubber trees, trees for extraction of sap: part of inclusion ""growing of crops n.e.c."""
1.11,Growing of cereals and other crops n.e.c.,1.63,Post-harvest crop activities,"Preparation of tobacco leaves: part of inclusion ""growing of tobacco, including its preliminary processing; harvesting and drying tobacco leaves"""
1.11,Growing of cereals and other crops n.e.c.,1.64,Seed processing for propagation,Processing seeds for use in activities in class 01.11
1.12,"Growing of vegetables, horticultural specialities and nursery products",1.11,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of green leguminous crops (green peas, broad beans, green beans): part of inclusion ""growing of vegetables"""
1.12,"Growing of vegetables, horticultural specialities and nursery products",1.13,"Growing of vegetables and melons, roots and tubers","- Growing of vegetables
- Production of seeds for vegetables
- Growing of seasoning herbs and vegetables
- Growing of mushrooms"
1.12,"Growing of vegetables, horticultural specialities and nursery products",1.19,Growing of other non-perennial crops,"- Growing of flowers
- Growing seeds for flowers: part of inclusion ""production of seeds for flowers, fruit and vegetables"""
1.12,"Growing of vegetables, horticultural specialities and nursery products",1.25,Growing of other tree and bush fruits and nuts,Fruit seeds
1.12,"Growing of vegetables, horticultural specialities and nursery products",1.28,"Growing of spices, aromatic, drug and pharmaceutical crops","- Growing of seasoning herbs
- Growing of capern"
1.12,"Growing of vegetables, horticultural specialities and nursery products",1.3,Plant propagation,"Growing of plants for planting or ornamental purposes, including turf for transplanting"
1.12,"Growing of vegetables, horticultural specialities and nursery products",1.64,Seed processing for propagation,Processing seeds for use in activities in class 01.12
1.12,"Growing of vegetables, horticultural specialities and nursery products",2.1,Silviculture and other forestry activities,Forest tree seeds
1.12,"Growing of vegetables, horticultural specialities and nursery products",2.3,Gathering of wild growing non-wood products,Gathering of forest mushrooms or truffles
1.13,"Growing of fruit, nuts, beverage and spice crops",1.21,Growing of grapes,Production of wine grapes and table grapes
1.13,"Growing of fruit, nuts, beverage and spice crops",1.22,Growing of tropical and subtropical fruits,"Production of tropical and subtropical fruits (bananas, avocados, dates etc.): part of inclusion ""production of fruit"""
1.13,"Growing of fruit, nuts, beverage and spice crops",1.23,Growing of citrus fruits,"Growing of citrus fruit: part of inclusion ""production of fruit"""
1.13,"Growing of fruit, nuts, beverage and spice crops",1.24,Growing of pome fruits and stone fruits,"Growing of pome fruits and stone fruits (apples, pears, apricots, cherries, peaches): part of inclusion ""production of fruit"""
1.13,"Growing of fruit, nuts, beverage and spice crops",1.25,Growing of other tree and bush fruits and nuts,"- Production of edible nuts (excluding coconuts)
- Production of strawberries, raspberries etc.: part of inclusion ""production of fruit"""
1.13,"Growing of fruit, nuts, beverage and spice crops",1.26,Growing of oleaginous fruits,"- Coconuts: part of inclusion ""production of edible nuts""
- Growing of olives for oil production and for direct consumption"
1.13,"Growing of fruit, nuts, beverage and spice crops",1.27,Growing of beverage crops,"Growing of beverage crops such as coffee, cocoa, tea, mate"
1.13,"Growing of fruit, nuts, beverage and spice crops",1.28,"Growing of spices, aromatic, drug and pharmaceutical crops","Growing of spice crops: bay, basil, anise, coriander, cumin, cinnamon, cloves, nutmeg, ginger, etc."
1.13,"Growing of fruit, nuts, beverage and spice crops",1.63,Post-harvest crop activities,"Preparation of cocoa beans: part of inclusion ""growing of beverage crops, such as coffee, cocoa, tea, mate"""
1.13,"Growing of fruit, nuts, beverage and spice crops",1.64,Seed processing for propagation,Processing seeds for use in activities in class 01.13
1.13,"Growing of fruit, nuts, beverage and spice crops",2.3,Gathering of wild growing non-wood products,Gathering of wild growing berries and nuts
1.13,"Growing of fruit, nuts, beverage and spice crops",10.41,Manufacture of oils and fats,Production of olive oil from self-produced olives (if main part of value added from production of olive oil and not from growing of olives)
1.13,"Growing of fruit, nuts, beverage and spice crops",11.02,Manufacture of wine from grape,Production of wine from self-produced grapes (if main part of value added from production of wine and not from growing of grapes)
1.21,"Farming of cattle, dairy farming",1.41,Raising of dairy cattle,"- Farming of diary cattle: part of inclusion ""farming of cattle""
- Production of raw cow milk"
1.21,"Farming of cattle, dairy farming",1.42,Raising of other cattle and buffaloes,"Farming of cattle for meat: part of inclusion ""farming of cattle"""
1.22,"Farming of sheep, goats, horses, asses, mules and hinnies",1.43,Raising of horses and other equines,"Farming and breeding of horses, asses, mules or hinnies"
1.22,"Farming of sheep, goats, horses, asses, mules and hinnies",1.45,Raising of sheep and goats,"- Farming of sheep and goats 
- Production of raw wool
- Production of raw sheep or goat milk"
1.22,"Farming of sheep, goats, horses, asses, mules and hinnies",1.49,Raising of other animals,Fine or coarse animal hair
1.23,Farming of swine,1.46,Raising of swine/pigs,=
1.24,Farming of poultry,1.47,Raising of poultry,=
1.25,Other farming of animals,1.44,Raising of camels and camelids,"Raising of camels and camelids: part of inclusion ""raising of diverse animals"""
1.25,Other farming of animals,1.49,Raising of other animals,"- Bee-keeping and production of honey and beeswax 
- Raising of rabbits 
- Breeding of pet animals
- Raising of fur animals, production of raw fur skins 
- Raising of silk worms, production of silk worm cocoons 
- Raising of snails 
- Raising of diverse a"
1.25,Other farming of animals,3.22,Freshwater aquaculture,Raising of water reptiles and frogs in basins
1.3,Growing of crops combined with farming of animals (mixed farming),1.5,Mixed farming,=
1.41,Agricultural service activities; landscape gardening,1.61,Support activities for crop production,"- Agricultural activities on a fee or contract basis (all except preparation of crops for primary markets)
- Operation of irrigation systems 
- Arboriculture and tree surgery as agricultural service activity
- Rental of agricultural machinery with operato"
1.41,Agricultural service activities; landscape gardening,1.63,Post-harvest crop activities,"Preparation of crops for primary markets: part of inclusion ""agricultural activities on a fee or contract basis"""
1.41,Agricultural service activities; landscape gardening,1.64,Seed processing for propagation,seed processing services
1.41,Agricultural service activities; landscape gardening,10.39,Other processing and preserving of fruit and vegetables,"Manufacture of perishable foods of fruit and vegetables: peeled or cut vegetables, mixed fresh salads, packaged"
1.41,Agricultural service activities; landscape gardening,81.3,Landscape service activities,"- Landscape gardening
- Landscaping measures for protecting the environment
- Tree pruning and hedge trimming, replanting of large trees (except as agricultural service activity)"
1.42,"Animal husbandry service activities, except veterinary activities",1.62,Support activities for animal production,All
1.5,"Hunting, trapping and game propagation, including related service activities",1.7,"Hunting, trapping and related service activities",Except service activities for promoting commercial hunting and trapping
1.5,"Hunting, trapping and game propagation, including related service activities",94.99,Activities of other membership organisations n.e.c.,Service activities to promote commercial hunting and trapping
2.01,Forestry and logging,1.29,Growing of other perennial crops,"- Growing of Christmas trees
- Growing of vegetable materials used for plaiting"
2.01,Forestry and logging,2.1,Silviculture and other forestry activities,"- Growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts
- Growing of coppice and pulpwood
- Operation of forest tree nurseries"
2.01,Forestry and logging,2.2,Logging,Logging: felling of timber and production of wood
2.01,Forestry and logging,2.3,Gathering of wild growing non-wood products,Gathering of wild growing forest materials
2.01,Forestry and logging,16.1,Sawmilling and planing of wood,"Production of split poles, pickets and similar products"
2.02,Forestry and logging related service activities,2.4,Support services to forestry,All
5.01,Fishing,3.11,Marine fishing,"- Fishing in ocean or coastal waters
- Taking of marine crustaceans and molluscs
- Hunting of aquatic animals in ocean and coastal waters
- Gathering of marine materials in ocean and coastal waters
- Service activities incidental to marine fishing"
5.01,Fishing,3.12,Freshwater fishing,"- Fishing in inland waters
- Taking of freshwater crustaceans and molluscs
- Hunting of freshwater aquatic animals 
- Gathering of marine materials in inland waters
- Service activities incidental to freshwater fishing"
5.01,Fishing,70.22,Business and other management consultancy activities,"Fish stock management, part of inclusion ""service activities incidental to fishing"""
5.02, Fish farming,3.21,Marine aquaculture,"- Production of oyster spat, mussel, lobsterlings, shrimp post-larvae, fish fry and fingerlings 
- Growing of laver and other edible seaweeds 
- Cultivation of oysters in sea water
- Fish farming in sea water
- Service activities incidental to marine aqua"
5.02, Fish farming,3.22,Freshwater aquaculture,"- Fish farming in fresh water including farming of ornamental fish
- Cultivation of freshwater oysters
- Service activities incidental to freshwater aquaculture"
10.1,Mining and agglomeration of hard coal,5.1,Mining of hard coal,Except support service activities and hard-coal fuel briquettes
10.1,Mining and agglomeration of hard coal,9.9,Support activities for other mining and quarrying,Support activities for coal mining: part of all inclusions
