NAF1993 Code,NAF1 Code
27.1Z - Sidérurgie CECA,27.1Y - Sidérurgie
27.3J - Production de ferro-alliages et autres produits non CECA,27.1Y - Sidérurgie

28.2A - Fabrication de réservoirs et citernes métalliques,"28.2C - Fabrication de réservoirs, citernes et conteneurs métalliques"
28.2B - Fabrication de bouteilles pour gaz comprimé,"28.2C - Fabrication de réservoirs, citernes et conteneurs métalliques"

28.7M - Fabrication de coffres-forts,28.7Q - Fabrication d’articles métalliques divers
28.7P - Fabrication d’articles métalliques,28.7Q - Fabrication d’articles métalliques divers

29.1C - Fabrication de pompes et compresseurs,29.1B - Fabrication de pompes
29.1C - Fabrication de pompes et compresseurs,29.1E - Fabrication de compresseurs

29.2K - Fabrication de machines diverses d’usage général,29.2L - Fabrication de matériel pour les industries chimiques
29.2K - Fabrication de machines diverses d’usage général,29.2M - Fabrication d’autres machines d’usage général

29.5C - Fabrication de machines pour l’extraction oula construction,29.5B - Fabrication de matériels de mines pour l’extraction
29.5C - Fabrication de machines pour l’extraction oula construction,29.5D - Fabrication de matériels de travaux publics

29.5P - Fabrication d’autres machines spécialisées,29.5Q - Fabrication de machines d’assemblage automatique
29.5P - Fabrication d’autres machines spécialisées,29.5R - Fabrication de machines spécialisées diverses

32.1B - Fabrication de composants électroniques actifs,32.1C - Fabrication de composants électroniques actifs
32.1B - Fabrication de composants électroniques actifs,32.1D - Assemblage de cartes électroniques pour compte de tiers

40.1Z - Production et distribution d’électricité,40.1A - Production d’électricité
40.1Z - Production et distribution d’électricité,40.1C - Transport d’électricité
40.1Z - Production et distribution d’électricité,40.1E - Distribution et commerce d’électricité

40.2Z - Production et distribution de combustibles gazeux,40.2A - Production de gaz manufacturé
40.2Z - Production et distribution de combustibles gazeux,40.2C - Distribution de combustibles gazeux

51.6A - Commerce de gros de machines-outils,51.8A - Commerce de gros de machines-outils

"51.6C - Commerce de gros de machines pour l'extraction, la construction et le génie civil","51.8C - Commerce de gros de machines pour l'extraction, la construction et le génie civil"

51.6E - Commerce de gros de machines pour l’industrie textile et l’habillement,51.8E - Commerce de gros de machines pour l’industrie textile et l’habillement

51.6G - Commerce de gros de machines de bureau et de matériel informatique,"51.8G - Commerce de gros d’ordinateurs, d’équipements informatiques périphériques et de progiciels"
51.6G - Commerce de gros de machines de bureau et de matériel informatique,51.8H - Commerce de gros d’autres machines et équipements de bureau

51.6J - Commerce de gros de matériel électrique et électronique,51.8J - Commerce de gros de composants et d’autres équipements électroniques
51.6J - Commerce de gros de matériel électrique et électronique,51.8L - Commerce de gros de matériel électrique

51.6K - Commerce de gros de fournitures et équipements industriels divers,51.8M - Commerce de gros de fournitures et équipements industriels divers

51.6L - Commerce de gros de fournitures et équipements divers pour le commerce et les services,51.8N - Commerce de gros de fournitures et équipements divers pour le commerce et les services

51.6N - Commerce de gros de matériel agricole,51.8P - Commerce de gros de matériel agricole

51.7Z - Commerce de gros non spécialisé,51.9A - Autres commerces de gros spécialisés
51.7Z - Commerce de gros non spécialisé,51.9B - Commerce de gros non spécialisé

55.1D - Hôtels de préfecture,55.1E - Autres hôtels

64.2A - Télécommunications nationales,64.2C - Télécommunications (hors transmissions audiovisuelles)
64.2A - Télécommunications nationales,64.2D - Transmission d’émissions de radio et de télévision
64.2B - Autres activités de télécommunications,64.2C - Télécommunications (hors transmissions audiovisuelles)
64.2B - Autres activités de télécommunications,64.2D - Transmission d’émissions de radio et de télévision

71.1Z - Location de véhicules automobiles,71.1A - Location de courte durée de véhicules automobiles
71.1Z - Location de véhicules automobiles,71.1B - Location de longue durée de véhicules automobiles

72.2Z - Réalisation de logiciels,72.2A - Edition de logiciels (non personnalisés)
72.2Z - Réalisation de logiciels,72.2C - Autres activités de réalisation de logiciels

,74.8H - Centres d’appel

90.0C - Elimination et traitement des autres déchets,90.0E - Traitements des autres déchets solides
90.0C - Elimination et traitement des autres déchets,90.0G - Autres travaux d’assainissement et de voirie

92.2C - Diffusion de programmes de télévision,92.2D - Edition de chaînes généralistes
92.2C - Diffusion de programmes de télévision,92.2E - Edition de chaînes thématiques
92.2C - Diffusion de programmes de télévision,92.2F - Distribution de bouquets de programmes de radio et de télévision

92.3H - Bals et discothèques,55.4C - Discothèques
92.3H - Bals et discothèques,92.3K - Activités diverses du spectacle
92.3J - Autres spectacles,55.4C - Discothèques
92.3J - Autres spectacles,92.3K - Activités diverses du spectacle


,96.0Z - Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
,97.0Z - Activités indifférenciées des ménages en tant que producteurs de services pour usage propre

27.1Z - Sidérurgie CECA,27.1Y - Sidérurgie
27.3J - Production de ferro-alliages et autres produits non CECA,27.1Y - Sidérurgie

28.2A - Fabrication de réservoirs et citernes métalliques,"28.2C - Fabrication de réservoirs, citernes et conteneurs métalliques"
28.2B - Fabrication de bouteilles pour gaz comprimé,"28.2C - Fabrication de réservoirs, citernes et conteneurs métalliques"



