"Code","Ebene","Titel","Parent"
"A",1,"Land- und Forstwirtschaft, Fischerei",
01,2,"Landwirtschaft, Jagd und damit verbundene Tätigkeiten","A"
"01.1",3,"Anbau einjähriger Pflanzen",01
"01.11",4,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","01.1"
"01.11.0",5,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","01.11"
"01.12",4,"Anbau von Reis","01.1"
"01.12.0",5,"Anbau von Reis","01.12"
"01.13",4,"Anbau von Gemüse und Melonen sowie Wurzeln und Knollen","01.1"
"01.13.1",5,"Anbau von Gemüse und Melonen","01.13"
"01.13.2",5,"Anbau von Kartoffeln sowie sonstigen Wurzeln und Knollen","01.13"
"01.14",4,"Anbau von Zuckerrohr","01.1"
"01.14.0",5,"Anbau von Zuckerrohr","01.14"
"01.15",4,"Anbau von Tabak","01.1"
"01.15.0",5,"Anbau von Tabak","01.15"
"01.16",4,"Anbau von Faserpflanzen","01.1"
"01.16.0",5,"Anbau von Faserpflanzen","01.16"
"01.19",4,"Anbau von sonstigen einjährigen Pflanzen","01.1"
"01.19.1",5,"Anbau von Zierpflanzen zum Schnitt","01.19"
"01.19.2",5,"Erzeugung von Blumensamen","01.19"
"01.19.9",5,"Anbau von sonstigen einjährigen Pflanzen a. n. g.","01.19"
"01.2",3,"Anbau mehrjähriger Pflanzen",01
"01.21",4,"Anbau von Wein- und Tafeltrauben","01.2"
"01.21.0",5,"Anbau von Wein- und Tafeltrauben","01.21"
"01.22",4,"Anbau von tropischen und subtropischen Früchten","01.2"
"01.22.0",5,"Anbau von tropischen und subtropischen Früchten","01.22"
"01.23",4,"Anbau von Zitrusfrüchten","01.2"
"01.23.0",5,"Anbau von Zitrusfrüchten","01.23"
"01.24",4,"Anbau von Kern- und Steinobst","01.2"
"01.24.0",5,"Anbau von Kern- und Steinobst","01.24"
"01.25",4,"Anbau von sonstigem Obst und Nüssen","01.2"
"01.25.1",5,"Anbau von Erdbeeren","01.25"
"01.25.9",5,"Anbau von sonstigem Obst (ohne Erdbeeren) und Nüssen","01.25"
"01.26",4,"Anbau von ölhaltigen Früchten","01.2"
"01.26.0",5,"Anbau von ölhaltigen Früchten","01.26"
"01.27",4,"Anbau von Pflanzen zur Herstellung von Getränken","01.2"
"01.27.0",5,"Anbau von Pflanzen zur Herstellung von Getränken","01.27"
"01.28",4,"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke","01.2"
"01.28.0",5,"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke","01.28"
"01.29",4,"Anbau sonstiger mehrjähriger Pflanzen","01.2"
"01.29.0",5,"Anbau sonstiger mehrjähriger Pflanzen","01.29"
"01.3",3,"Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken",01
"01.30",4,"Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken","01.3"
"01.30.1",5,"Anbau von Zimmerpflanzen, Beet- und Balkonpflanzen","01.30"
"01.30.2",5,"Betrieb von Baumschulen","01.30"
"01.4",3,"Tierhaltung",01
"01.41",4,"Haltung von Milchkühen","01.4"
"01.41.0",5,"Haltung von Milchkühen","01.41"
"01.42",4,"Haltung von anderen Rindern","01.4"
"01.42.0",5,"Haltung von anderen Rindern","01.42"
"01.43",4,"Haltung von Pferden und Eseln","01.4"
"01.43.0",5,"Haltung von Pferden und Eseln","01.43"
"01.44",4,"Haltung von Kamelen","01.4"
"01.44.0",5,"Haltung von Kamelen","01.44"
"01.45",4,"Haltung von Schafen und Ziegen","01.4"
"01.45.0",5,"Haltung von Schafen und Ziegen","01.45"
"01.46",4,"Haltung von Schweinen","01.4"
"01.46.0",5,"Haltung von Schweinen","01.46"
"01.47",4,"Haltung von Geflügel","01.4"
"01.47.1",5,"Haltung von Legehennen zur Konsumeiererzeugung","01.47"
"01.47.2",5,"Betrieb von Brütereien","01.47"
"01.47.9",5,"Sonstige Haltung von Nutzgeflügel","01.47"
"01.49",4,"Sonstige Tierhaltung","01.4"
"01.49.0",5,"Sonstige Tierhaltung","01.49"
"01.5",3,"Gemischte Landwirtschaft",01
"01.50",4,"Gemischte Landwirtschaft","01.5"
"01.50.0",5,"Gemischte Landwirtschaft","01.50"
"01.6",3,"Erbringung von landwirtschaftlichen Dienstleistungen",01
"01.61",4,"Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau","01.6"
"01.61.0",5,"Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau","01.61"
"01.62",4,"Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung","01.6"
"01.62.0",5,"Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung","01.62"
"01.63",4,"Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung","01.6"
"01.63.0",5,"Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung","01.63"
"01.64",4,"Saatgutaufbereitung","01.6"
"01.64.0",5,"Saatgutaufbereitung","01.64"
"01.7",3,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten",01
"01.70",4,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten","01.7"
"01.70.0",5,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten","01.70"
02,2,"Forstwirtschaft und Holzeinschlag","A"
"02.1",3,"Forstwirtschaft",02
"02.10",4,"Forstwirtschaft","02.1"
"02.10.0",5,"Forstwirtschaft","02.10"
"02.2",3,"Holzeinschlag",02
"02.20",4,"Holzeinschlag","02.2"
"02.20.0",5,"Holzeinschlag","02.20"
"02.3",3,"Sammeln von wild wachsenden Produkten (ohne Holz)",02
"02.30",4,"Sammeln von wild wachsenden Produkten (ohne Holz)","02.3"
"02.30.0",5,"Sammeln von wild wachsenden Produkten (ohne Holz)","02.30"
"02.4",3,"Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag",02
"02.40",4,"Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag","02.4"
"02.40.0",5,"Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag","02.40"
03,2,"Fischerei und Aquakultur","A"
"03.1",3,"Fischerei",03
"03.11",4,"Meeresfischerei","03.1"
"03.11.0",5,"Meeresfischerei","03.11"
"03.12",4,"Süßwasserfischerei","03.1"
"03.12.0",5,"Süßwasserfischerei","03.12"
"03.2",3,"Aquakultur",03
"03.21",4,"Meeresaquakultur","03.2"
"03.21.0",5,"Meeresaquakultur","03.21"
"03.22",4,"Süßwasseraquakultur","03.2"
"03.22.0",5,"Süßwasseraquakultur","03.22"
"B",1,"Bergbau und Gewinnung von Steinen und Erden",
05,2,"Kohlenbergbau","B"
"05.1",3,"Steinkohlenbergbau",05
"05.10",4,"Steinkohlenbergbau","05.1"
"05.10.0",5,"Steinkohlenbergbau","05.10"
"05.2",3,"Braunkohlenbergbau",05
"05.20",4,"Braunkohlenbergbau","05.2"
"05.20.0",5,"Braunkohlenbergbau","05.20"
06,2,"Gewinnung von Erdöl und Erdgas","B"
"06.1",3,"Gewinnung von Erdöl",06
"06.10",4,"Gewinnung von Erdöl","06.1"
"06.10.0",5,"Gewinnung von Erdöl","06.10"
"06.2",3,"Gewinnung von Erdgas",06
"06.20",4,"Gewinnung von Erdgas","06.2"
"06.20.0",5,"Gewinnung von Erdgas","06.20"
07,2,"Erzbergbau","B"
"07.1",3,"Eisenerzbergbau",07
"07.10",4,"Eisenerzbergbau","07.1"
"07.10.0",5,"Eisenerzbergbau","07.10"
"07.2",3,"NE-Metallerzbergbau",07
"07.21",4,"Bergbau auf Uran- und Thoriumerze","07.2"
"07.21.0",5,"Bergbau auf Uran- und Thoriumerze","07.21"
"07.29",4,"Sonstiger NE-Metallerzbergbau","07.2"
"07.29.0",5,"Sonstiger NE-Metallerzbergbau","07.29"
08,2,"Gewinnung von Steinen und Erden, sonstiger Bergbau","B"
"08.1",3,"Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin",08
"08.11",4,"Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer","08.1"
"08.11.0",5,"Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer","08.11"
"08.12",4,"Gewinnung von Kies, Sand, Ton und Kaolin","08.1"
"08.12.0",5,"Gewinnung von Kies, Sand, Ton und Kaolin","08.12"
"08.9",3,"Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.",08
